date,hour,price,cloud_cover,global_tilted_irradiance,precipitation,temperature_2m,wind_speed_10m
2024-05-17,16,164.58,83.33333333333333,381.5666666666666,0.0,18.01111111111111,11.399999999999999
2024-05-17,17,197.11,74.11111111111111,263.34444444444443,0.011111111111111112,17.866666666666667,10.71111111111111
2024-05-17,18,211.6,61.888888888888886,160.47777777777776,0.011111111111111112,17.544444444444444,10.622222222222222
2024-05-17,19,299.46,45.77777777777778,53.56666666666667,0.0,16.455555555555556,10.08888888888889
2024-05-17,20,357.19,41.333333333333336,7.7444444444444445,0.0,15.266666666666667,9.755555555555556
2024-05-17,21,252.81,38.333333333333336,0.0,0.0,14.633333333333333,9.5
2024-05-17,22,199.55,30.333333333333332,0.0,0.0,14.322222222222223,10.088888888888889
2024-05-17,23,187.37,29.555555555555557,0.0,0.0,13.744444444444445,9.544444444444444
2024-05-18,0,182.03,28.444444444444443,0.0,0.0,13.111111111111109,7.611111111111111
2024-05-18,1,167.24,27.11111111111111,0.0,0.0,12.533333333333333,6.98888888888889
2024-05-18,2,157.35,25.666666666666668,0.0,0.0,12.055555555555555,6.7333333333333325
2024-05-18,3,166.95,24.77777777777778,0.0,0.0,12.11111111111111,4.933333333333334
2024-05-18,4,164.04,38.44444444444444,0.0,0.0,11.877777777777776,4.8999999999999995
2024-05-18,5,168.87,37.77777777777778,0.2,0.0,11.5,4.722222222222222
2024-05-18,6,184.42,47.22222222222222,26.41111111111111,0.0,12.222222222222223,4.855555555555556
2024-05-18,7,176.89,50.22222222222222,108.3111111111111,0.0,13.5,4.977777777777778
2024-05-18,8,128.5,44.55555555555556,275.2555555555556,0.0,14.955555555555556,5.711111111111112
2024-05-18,9,95.64,36.55555555555556,465.26666666666665,0.0,16.466666666666665,5.033333333333333
2024-05-18,10,18.44,33.333333333333336,634.2333333333333,0.0,18.000000000000004,5.644444444444445
2024-05-18,11,19.56,41.333333333333336,745.3,0.0,19.48888888888889,5.577777777777778
2024-05-18,12,14.98,44.22222222222222,833.6,0.0,20.655555555555555,6.1000000000000005
2024-05-18,13,19.56,48.333333333333336,785.0222222222222,0.011111111111111112,21.27777777777778,7.0555555555555545
2024-05-18,14,88.58,37.333333333333336,799.6999999999999,0.011111111111111112,21.855555555555558,7.933333333333334
2024-05-18,15,10.01,54.77777777777778,678.2333333333333,0.011111111111111112,22.27777777777778,8.5
2024-05-18,16,52.67,52.666666666666664,556.2,0.0,22.255555555555556,8.633333333333333
2024-05-18,17,176.49,48.888888888888886,380.1222222222222,0.0,21.655555555555555,8.922222222222222
2024-05-18,18,203.72,56.333333333333336,200.04444444444442,0.0,20.933333333333334,7.711111111111112
2024-05-18,19,250.05,71.66666666666667,56.12222222222223,0.0,19.166666666666668,8.133333333333333
2024-05-18,20,375.91,71.88888888888889,9.277777777777779,0.0,17.355555555555554,8.177777777777777
